favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
10147,Twitter for Android,"Great rally in New Mexico, amazing crowd! Now in L.A. Big rally in Anaheim.",,False,Wed May 25 05:12:44 +0000 2016,2783,735337786757238785
1758,Twitter for Android,"""@BOSSYtxmar55: #Trump WILL WIN! He's counting on ALL supporters TO VOTE Then ""WE"" CELEBRATE WITH TAILGATE STYLE PARTIES! #TeamTrump",,False,Wed Dec 02 23:47:44 +0000 2015,717,672200505414782977
4018,Twitter for iPhone,Great video of tonights crowd reacting to my latest proposal in SC. #Trump2016 https://t.co/CBxrWeRZhP https://t.co/Ko0rypNsx8,,False,Tue Dec 08 03:23:02 +0000 2015,1593,674066628754210816
1165,Twitter for iPhone,.@ThisWeekABC with @GStephanopoulos had fantastic numbers last Sunday --- Trump interview. Nice!,,False,Sat Oct 10 19:10:40 +0000 2015,516,652924225217515520
83327,Twitter for iPhone,"14 days for $28 MILLION - $2 MILLION a day, No Collusion. A great day for America!",,False,Fri Sep 07 21:39:37 +0000 2018,19796,1038180008479608832
141179,Twitter for iPhone,"THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people… https://t.co/dYi5WHA50b",,False,Thu Feb 28 10:25:18 +0000 2019,27132,1101065802067861505
75118,Twitter for iPhone,"A great night in Ohio’s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people o… https://t.co/n6ZVzqFOOY",,False,Sun Aug 05 01:43:00 +0000 2018,15273,1025920073159110657
1909,Twitter for iPhone,I had a great time at @TwitterNYC #AskTrump http://t.co/RfWQdDPB33,,False,Mon Sep 21 17:38:49 +0000 2015,642,646015739233705984
1060,Twitter for Android,"""@Sulli1963: @AnnCoulter final four-Trump, Cruz, Walker, Carson wild card Fiorina""",,False,Fri Aug 07 08:22:30 +0000 2015,419,629568286062190592
6637,Twitter for Android,"President Obama was terrible on @60Minutes tonight. He said CLIMATE CHANGE is the most important thing, not all of the current disasters!",,False,Mon Oct 12 01:43:08 +0000 2015,3383,653385381526806528
113297,Twitter for iPhone,MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA,,False,Fri Mar 03 22:13:10 +0000 2017,33894,837787963027144706
73695,Twitter Ads,Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS,,False,Mon Apr 10 21:59:10 +0000 2017,14198,851555178910064640
44040,Twitter for iPhone,"FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be c… https://t.co/wPghUO1OF2",,False,Tue Oct 09 16:07:03 +0000 2018,10884,1049692727582048258
57162,Twitter for iPhone,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.,,False,Tue Apr 18 10:46:19 +0000 2017,14309,854284952539725828
203194,Twitter for iPhone,Congratulations to Andres Manuel Lopez Obrador on becoming the next President of Mexico. I look very much forward t… https://t.co/g2GfAkKPd0,,False,Mon Jul 02 03:01:30 +0000 2018,64423,1013618640061595648
5612,Twitter for Android,"""@donell27743094: @realDonaldTrump trump won the debate. Disgusting Rubio said ""peed"" - is he still in junior high school.""",,False,Fri Feb 26 12:29:42 +0000 2016,1535,703195229181100032
1982,Twitter for Android,"""@TRUMPHIANT2016: This country is being frayed by the inept politicians in DC. We need to vote smarter and be more informed.  #TeamTrump""",,False,Wed Dec 02 23:46:39 +0000 2015,842,672200232856395778
17199,Twitter for Android,"Wisconsin's economy is doing poorly and like everywhere else in U.S., jobs are leaving. I will make our economy strong again - bring in jobs",,False,Sat Mar 26 19:27:56 +0000 2016,5592,713809729764589568
32590,Twitter for Android,"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!",,False,Sat Dec 17 13:05:02 +0000 2016,5715,810108542921408512
11979,Twitter for Android,"""@55Lidsville:  #TeamTrump @KellyannePolls You need to show the crowds at the rallies use Periscope! Show HC's 139 YT viewers vs DT 38K""",,False,Mon Aug 22 01:25:00 +0000 2016,3734,767532993686765569
63848,Twitter for iPhone,Wacky Omarosa already has a fully signed Non-Disclosure Agreement!,,False,Mon Aug 13 16:13:11 +0000 2018,13676,1029038164248338432
57972,Twitter for iPhone,"Heading to California with @GOPLeader Kevin McCarthy, @RepLaMalfa, and @KenCalvert. Look forward to being with our… https://t.co/ywkoCW7dbE",,False,Sat Nov 17 16:47:07 +0000 2018,10705,1063835936604090368
2356,Twitter for iPhone,I will unveil my first campaign ads on @Morning_Joe at 6:30am tomorrow. Enjoy! #MakeAmericaGreatAgain,,False,Wed Nov 04 23:24:03 +0000 2015,1160,662047688620417024
80265,Twitter for iPhone,The Woodward book has already been refuted and discredited by General (Secretary of Defense) James Mattis and Gener… https://t.co/LtlBUGh9PI,,False,Tue Sep 04 23:18:08 +0000 2018,21967,1037117638101688320
103498,Twitter for iPhone,"Had the opposition party (no, not the Media) won the election, the Stock Market would be down at least 10,000 point… https://t.co/yP4yfOTDU3",,False,Tue Feb 19 12:30:03 +0000 2019,20149,1097835706024644608
2318,Twitter for Android,Washington (D.C.) is such a mess - nothing works! I will MAKE AMERICA GREAT AGAIN!  It's not going to happen with anyone else.,,False,Thu Oct 08 16:46:37 +0000 2015,1417,652163198695505920
162449,Twitter for iPhone,"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missil… https://t.co/ZLg0zRZ976",,False,Fri Mar 09 01:08:14 +0000 2018,40902,971915531346436096
98216,Twitter for iPhone,"3.4 million jobs created since our great Election Victory - far greater than ever anticipated, and only getting bet… https://t.co/d9mAL67P5X",,False,Wed Jul 18 11:33:34 +0000 2018,21183,1019545713435467776
4249,Twitter for Android,.@FrankLuntz is a total clown. Has zero credibility!  @FoxNews  @megynkelly,,False,Sat Jan 16 02:18:52 +0000 2016,1439,688183605491703812
87298,Twitter for iPhone,"Thank you Helsinki, Finland! https://t.co/rh4NUjPSwU",,False,Mon Jul 16 16:51:20 +0000 2018,16068,1018900904735531014
66969,Twitter for iPhone,"Go Republican Senators, Go! Get there after waiting for 7 years. Give America great healthcare!",,False,Fri Jul 28 02:43:30 +0000 2017,12099,890764622852173826
4452,Twitter for iPhone,On my way to South Carolina. Big Crowd--- look forward to it!,,False,Fri Jan 08 21:20:02 +0000 2016,1150,685571686423461888
94502,Twitter for iPhone,The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished b… https://t.co/bctmAtxwb2,,False,Sat Dec 23 22:44:45 +0000 2017,20239,944700332881440769
4866,Twitter for iPhone,"""Minorities Line Up Behind Donald Trump"" #Trump2016 
https://t.co/ClcvOgWOMy",,False,Tue Jan 26 21:14:15 +0000 2016,1804,692093215944654849
93489,Twitter for iPhone,"While I had a great meeting with NATO, raising vast amounts of money, I had an even better meeting with Vladimir Pu… https://t.co/4BGXYfNXl9",,False,Tue Jul 17 14:22:28 +0000 2018,22015,1019225830298456066
65087,Twitter for iPhone,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!",,False,Mon Nov 13 14:57:02 +0000 2017,11382,930087113764327424
84055,Twitter for iPhone,"After having written many best selling books, and somewhat priding myself on my ability to write, it should be note… https://t.co/hh0aMWmvLk",,False,Tue Jul 03 23:13:34 +0000 2018,14239,1014286054805987330
1436,Twitter for Android,"""@salyboy3: @realDonaldTrump great job on SNL mr trump, funny funny.""  Thanks.",,False,Sun Nov 08 22:46:12 +0000 2015,504,663487711223877636
32171,Twitter for Android,"""@FoxNews: ""We certainly don’t want intelligence interfering with politics and we don’t want politics interfe… https://t.co/bwDjEg1d7S""",,False,Sun Jan 08 16:39:14 +0000 2017,7316,818134981344165888
